age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status,experience_category,skill_level
27,Male,65.06165643,83.84257845,75.85652604,Computer Science,58.22190883,89.56630495,64.47448421,79.54891264,2,No,1,Willing,Relevant,3.530557045,5.805849793,Tier 3,Not Matched,Medium,Not Required,15.0,No,18.0,Not Willing,Not Placed,Junior,Medium
24,Male,67.88562562,64.9733049,73.09358751,Electronics,71.92797829,54.59197128,61.07730586,73.31613397,1,Yes,0,Not Willing,Relevant,9.858154927,10.80773871,Tier 1,Matched,High,Required,0.0,No,0.0,Not Willing,Not Placed,Junior,Medium
33,Female,73.89247134,68.83412115,90.19645955,Information Technology,72.44504078,58.58708791,79.49473855,75.46698001,1,Yes,1,Willing,Relevant,5.801817334,5.476838811,Tier 3,Not Matched,Low,Not Required,0.0,No,3.0,Not Willing,Placed,Senior,Medium
31,Male,74.14556809,76.2551257,75.58673114,Mechanical,78.85567645,61.0220652,53.74038581,73.67644856,2,No,0,Not Willing,Relevant,2.129805168,9.980580456,Tier 2,Matched,Low,Not Required,0.0,Yes,6.0,Willing,Not Placed,Senior,High
28,Male,60.47593691,65.78633641,80.80100976,Information Technology,68.28677635,65.71373104,61.4383138,88.99484701,1,No,0,Willing,Not Relevant,7.948314171,8.921232877,Tier 2,Matched,Medium,Not Required,0.0,No,3.0,Willing,Not Placed,Junior,Medium
33,Female,60.64176804,66.15184339,78.20345543,Others,85.0639399,46.2930895,47.63885806,78.30741076,1,Yes,1,Not Willing,Relevant,4.918529895,3.0,Tier 2,Not Matched,Low,Not Required,60.0,No,0.0,Not Willing,Placed,Senior,High
25,Female,78.22419102,69.57828161,79.87095881,Mechanical,85.16806712,47.18832829,70.34877816,79.93595589,1,Yes,1,Not Willing,Relevant,7.946909821,7.114405929,Tier 2,Matched,Low,Not Required,0.0,No,0.0,Not Willing,Placed,Junior,High
27,Female,69.97121038,69.11135037,75.43067892,Others,75.67219632,56.39174274,76.38315475,77.54633503,0,Yes,3,Willing,Relevant,8.056013034,3.103733564,Tier 1,Matched,Medium,Not Required,0.0,No,0.0,Not Willing,Placed,Junior,High
30,Female,69.53575432,78.75750675,79.75754317,Mechanical,78.28282251,62.64748399,81.62984622,67.93183956,3,Yes,2,Not Willing,Relevant,4.190206248,3.0,Tier 3,Matched,Low,Not Required,15.0,No,0.0,Willing,Placed,Senior,High
23,Female,70.97246059,78.1016055,72.76789671,Mechanical,54.55425758,61.05590521,59.56795687,95.12514466,0,No,2,Willing,Relevant,5.925224928,3.091101727,Tier 1,Not Matched,High,Required,0.0,No,0.0,Willing,Not Placed,Junior,Medium
